1,https://en.wikipedia.org/wiki/Computer_science,Computer science,2376
6,https://en.wikipedia.org/wiki/Multiprocessing,Multiprocessing,750
10,https://en.wikipedia.org/wiki/Edsger_W._Dijkstra,Edsger W. Dijkstra,1757
15,https://en.wikipedia.org/wiki/Category:Formal_sciences,Category:Formal sciences,13
17,https://en.wikipedia.org/wiki/Category:CS1_German-language_sources_(de),Category:CS1 German-language sources (de),33
26,https://en.wikipedia.org/wiki/Graphics_processing_unit,Graphics processing unit,3255
33,https://en.wikipedia.org/wiki/Computer_graphics_(computer_science),Computer graphics (computer science),328
38,https://en.wikipedia.org/wiki/Howard_H._Aiken,Howard H. Aiken,297
41,https://en.wikipedia.org/wiki/Wilhelm_Schickard,Wilhelm Schickard,761
45,https://en.wikipedia.org/wiki/John_von_Neumann,John von Neumann,8402
58,https://en.wikipedia.org/wiki/Communications_of_the_ACM,Communications of the ACM,126
63,https://en.wikipedia.org/wiki/Library_(computing),Library (computing),1467
69,https://en.wikipedia.org/wiki/Leonardo_Torres_y_Quevedo#Analytical_machines,Leonardo Torres Quevedo,4296
75,https://en.wikipedia.org/wiki/Category:Articles_with_LCCN_identifiers,Category:Articles with LCCN identifiers,13
78,https://en.wikipedia.org/wiki/Digital_signature,Digital signature,1880
87,https://en.wikipedia.org/wiki/Structured_program_theorem,Structured program theorem,972
91,https://en.wikipedia.org/wiki/Computer_accessibility,Computer accessibility,1080
96,https://en.wikipedia.org/wiki/Glossary_of_nanotechnology,Glossary of nanotechnology,29
100,https://en.wikipedia.org/wiki/Computational_science,Computational science,1103
107,https://en.wikipedia.org/wiki/Software_repository,Software repository,751
111,https://en.wikipedia.org/wiki/Social_software_engineering,Social software engineering,231
113,https://en.wikipedia.org/wiki/Domain_theory,Domain theory,1207
118,https://en.wikipedia.org/wiki/Computer_data_storage,Computer data storage,2318
122,https://en.wikipedia.org/wiki/Executable_UML,Executable UML,672
127,https://en.wikipedia.org/wiki/IBM,IBM,3757
0,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign,University of Illinois Urbana-Champaign,3900
7,https://en.wikipedia.org/wiki/Fluid_dynamics,Fluid dynamics,1630
12,https://en.wikipedia.org/wiki/Computer_engineering,Computer engineering,1489
19,https://en.wikipedia.org/wiki/Theory_of_computation,Theory of computation,626
22,https://en.wikipedia.org/wiki/Network_security,Network security,453
27,https://en.wikipedia.org/wiki/Computational_mathematics,Computational mathematics,76
32,https://en.wikipedia.org/wiki/Linear_network_coding,Linear network coding,1420
39,https://en.wikipedia.org/wiki/BBC_Model_B,BBC Micro,3814
48,https://en.wikipedia.org/wiki/Category:Articles_with_NLK_identifiers,Category:Articles with NLK identifiers,13
53,https://en.wikipedia.org/wiki/History_of_operating_systems,History of operating systems,2285
55,https://en.wikipedia.org/wiki/Data_processing,Data processing,461
59,https://en.wikipedia.org/wiki/Computational_social_science,Computational social science,274
67,https://en.wikipedia.org/wiki/Informatics,Informatics,731
70,https://en.wikipedia.org/wiki/Computing_Machinery_and_Intelligence,Computing Machinery and Intelligence,940
73,https://en.wikipedia.org/wiki/Glossary_of_structural_engineering,Glossary of structural engineering,48
81,https://en.wikipedia.org/wiki/Glossary_of_robotics,Glossary of robotics,51
84,https://en.wikipedia.org/wiki/Automation,Automation,5062
94,https://en.wikipedia.org/wiki/Scrum_(software_development),Scrum (software development),1439
